sale_id,sale_date,product_id,warehouse_id,quantity_sold,selling_price_per_unit,channel,revenue
TXN000103,2025-07-21,PROD0025,WH02,3,203.66,Online,610.98
TXN000104,2025-07-21,PROD0010,WH04,1,198.25,Online,198.25
TXN000105,2025-07-21,PROD0015,WH03,1,414.86,Wholesale,414.86
TXN000106,2025-07-21,PROD0086,WH05,4,308.34,Online,1233.36
TXN000107,2025-07-21,PROD0078,WH02,1,368.28,Online,368.28
TXN000108,2025-07-21,PROD0043,WH03,1,430.69,Online,430.69
TXN000109,2025-07-21,PROD0040,WH02,1,530.8,Online,530.8
TXN000110,2025-07-21,PROD0029,WH04,2,216.16,Retail,432.32
TXN000111,2025-07-21,PROD0046,WH01,1,328.39,Retail,328.39
TXN000112,2025-07-21,PROD0020,WH05,2,363.62,Retail,727.24
TXN000113,2025-07-21,PROD0060,WH02,3,379.48,Online,1138.44
TXN000114,2025-07-21,PROD0126,WH02,4,543.44,Retail,2173.76
TXN000115,2025-07-21,PROD0055,WH05,1,610.6,Retail,610.6
TXN000116,2025-07-21,PROD0092,WH02,11,84.39,Online,928.29
TXN000117,2025-07-21,PROD0056,WH01,5,306.56,Retail,1532.8
TXN000118,2025-07-21,PROD0061,WH01,7,35.05,Retail,245.35
TXN000119,2025-07-21,PROD0092,WH05,15,84.39,Retail,1265.85
TXN000120,2025-07-21,PROD0002,WH05,2,766.66,Online,1533.32
TXN000121,2025-07-21,PROD0100,WH05,3,433.5,Online,1300.5
TXN000122,2025-07-21,PROD0128,WH04,5,88.9,Online,444.5
TXN000123,2025-07-21,PROD0085,WH01,1,350.45,Retail,350.45
TXN000124,2025-07-21,PROD0108,WH01,1,158.82,Retail,158.82
TXN000125,2025-07-21,PROD0067,WH05,1,272.24,Retail,272.24
TXN000126,2025-07-21,PROD0024,WH05,2,237.44,Retail,474.88
TXN000127,2025-07-21,PROD0095,WH03,6,226.49,Online,1358.94
TXN000128,2025-07-21,PROD0016,WH01,1,113.06,Online,113.06
TXN000129,2025-07-21,PROD0120,WH03,1,807.25,Wholesale,807.25
TXN000130,2025-07-21,PROD0127,WH04,1,815.22,Online,815.22
TXN000131,2025-07-21,PROD0018,WH04,10,22.79,Online,227.9
TXN000132,2025-07-21,PROD0028,WH04,2,179.6,Online,359.2
TXN000133,2025-07-21,PROD0018,WH05,3,22.79,Retail,68.37
TXN000134,2025-07-21,PROD0030,WH04,2,307.89,Retail,615.78
TXN000135,2025-07-21,PROD0121,WH03,1,583.3,Online,583.3
TXN000136,2025-07-21,PROD0006,WH02,2,342.18,Online,684.36
TXN000137,2025-07-21,PROD0082,WH04,2,302.75,Online,605.5
TXN000138,2025-07-21,PROD0061,WH03,11,35.05,Retail,385.55
TXN000139,2025-07-21,PROD0032,WH01,14,66.91,Retail,936.74
TXN000140,2025-07-21,PROD0078,WH01,1,368.28,Retail,368.28
TXN000141,2025-07-21,PROD0011,WH03,1,515.6,Online,515.6
TXN000142,2025-07-21,PROD0030,WH03,4,307.89,Online,1231.56
TXN000143,2025-07-21,PROD0094,WH02,6,54.93,Online,329.58
TXN000144,2025-07-21,PROD0068,WH03,2,154.66,Online,309.32
TXN000145,2025-07-21,PROD0103,WH02,2,731.07,Online,1462.14
TXN000146,2025-07-21,PROD0040,WH05,1,530.8,Wholesale,530.8
TXN000147,2025-07-21,PROD0057,WH05,5,229.78,Wholesale,1148.9
TXN000148,2025-07-21,PROD0051,WH05,2,771.14,Wholesale,1542.28
TXN000149,2025-07-21,PROD0052,WH02,1,728.74,Online,728.74
TXN000150,2025-07-21,PROD0046,WH05,4,328.39,Retail,1313.56
TXN000151,2025-07-21,PROD0066,WH01,1,512.81,Online,512.81
TXN000152,2025-07-21,PROD0016,WH02,2,113.06,Online,226.12
TXN000153,2025-07-21,PROD0005,WH02,1,170.46,Online,170.46
TXN000154,2025-07-21,PROD0030,WH05,5,307.89,Retail,1539.45
TXN000155,2025-07-21,PROD0051,WH04,2,771.14,Online,1542.28
TXN000156,2025-07-21,PROD0069,WH02,1,279.79,Online,279.79
TXN000157,2025-07-21,PROD0074,WH03,2,522.27,Wholesale,1044.54
TXN000158,2025-07-21,PROD0018,WH03,2,22.79,Retail,45.58
TXN000159,2025-07-22,PROD0012,WH04,1,625.07,Online,625.07
TXN000160,2025-07-22,PROD0034,WH02,1,126.65,Online,126.65
TXN000161,2025-07-22,PROD0003,WH03,10,92.84,Online,928.4
TXN000162,2025-07-22,PROD0019,WH02,5,254.68,Online,1273.4
TXN000163,2025-07-22,PROD0039,WH01,4,360.51,Wholesale,1442.04
TXN000164,2025-07-22,PROD0092,WH05,3,84.39,Online,253.17
TXN000165,2025-07-22,PROD0046,WH05,4,328.39,Online,1313.56
TXN000166,2025-07-22,PROD0011,WH04,2,515.6,Online,1031.2
TXN000167,2025-07-22,PROD0092,WH03,8,84.39,Retail,675.12
TXN000168,2025-07-22,PROD0083,WH05,1,183.43,Retail,183.43
TXN000169,2025-07-22,PROD0102,WH02,4,196.25,Retail,785.0
TXN000170,2025-07-22,PROD0007,WH05,2,385.91,Online,771.82
TXN000171,2025-07-22,PROD0035,WH05,2,224.81,Online,449.62
TXN000172,2025-07-22,PROD0043,WH01,1,430.69,Online,430.69
TXN000173,2025-07-22,PROD0117,WH02,2,478.38,Online,956.76
TXN000174,2025-07-22,PROD0035,WH01,1,224.81,Retail,224.81
TXN000175,2025-07-22,PROD0081,WH04,4,41.47,Retail,165.88
TXN000176,2025-07-22,PROD0061,WH02,10,35.05,Online,350.5
TXN000177,2025-07-22,PROD0016,WH03,2,113.06,Online,226.12
TXN000178,2025-07-22,PROD0070,WH05,3,291.98,Online,875.94
TXN000179,2025-07-22,PROD0085,WH02,1,350.45,Online,350.45
TXN000180,2025-07-22,PROD0064,WH02,1,563.89,Retail,563.89
TXN000181,2025-07-22,PROD0013,WH01,1,231.03,Retail,231.03
TXN000182,2025-07-22,PROD0122,WH02,2,792.76,Online,1585.52
TXN000183,2025-07-22,PROD0091,WH02,2,922.1,Online,1844.2
TXN000184,2025-07-22,PROD0051,WH02,2,771.14,Online,1542.28
TXN000185,2025-07-22,PROD0110,WH05,1,84.13,Online,84.13
TXN000186,2025-07-22,PROD0099,WH02,1,345.24,Retail,345.24
TXN000187,2025-07-22,PROD0120,WH04,1,807.25,Online,807.25
TXN000188,2025-07-22,PROD0021,WH02,2,657.4,Online,1314.8
TXN000189,2025-07-22,PROD0128,WH04,17,88.9,Online,1511.3
TXN000190,2025-07-22,PROD0105,WH01,1,568.46,Online,568.46
TXN000191,2025-07-22,PROD0126,WH01,2,543.44,Online,1086.88
TXN000192,2025-07-22,PROD0065,WH05,2,431.82,Wholesale,863.64
TXN000193,2025-07-22,PROD0024,WH02,3,237.44,Online,712.32
TXN000194,2025-07-22,PROD0085,WH04,4,350.45,Retail,1401.8
TXN000195,2025-07-22,PROD0049,WH05,1,416.0,Online,416.0
TXN000196,2025-07-22,PROD0062,WH05,1,576.67,Retail,576.67
TXN000197,2025-07-22,PROD0070,WH05,1,291.98,Online,291.98
TXN000198,2025-07-22,PROD0116,WH02,2,362.75,Online,725.5
TXN000199,2025-07-22,PROD0049,WH05,2,416.0,Online,832.0
TXN000200,2025-07-22,PROD0058,WH05,1,407.28,Retail,407.28
TXN000201,2025-07-22,PROD0022,WH04,1,88.86,Wholesale,88.86
TXN000202,2025-07-22,PROD0096,WH02,2,785.16,Online,1570.32
TXN000203,2025-07-22,PROD0080,WH02,4,149.97,Wholesale,599.88
TXN000204,2025-07-22,PROD0038,WH05,4,226.86,Wholesale,907.44
TXN000205,2025-07-22,PROD0023,WH05,1,718.07,Online,718.07
TXN000206,2025-07-22,PROD0056,WH03,5,306.56,Wholesale,1532.8
TXN000207,2025-07-22,PROD0113,WH02,5,290.11,Online,1450.55
TXN000208,2025-07-22,PROD0118,WH01,7,44.34,Online,310.38
TXN000209,2025-07-22,PROD0090,WH01,1,890.04,Retail,890.04
TXN000210,2025-07-22,PROD0068,WH03,1,154.66,Online,154.66
TXN000211,2025-07-22,PROD0011,WH04,3,515.6,Retail,1546.8
TXN000212,2025-07-22,PROD0088,WH02,3,308.26,Retail,924.78
TXN000213,2025-07-22,PROD0057,WH05,2,229.78,Wholesale,459.56
TXN000214,2025-07-22,PROD0091,WH05,1,922.1,Retail,922.1
TXN000215,2025-07-22,PROD0105,WH05,1,568.46,Online,568.46
TXN000216,2025-07-22,PROD0044,WH02,4,10.47,Online,41.88
TXN000217,2025-07-22,PROD0039,WH05,1,360.51,Online,360.51
TXN000218,2025-07-22,PROD0073,WH04,2,314.02,Retail,628.04
TXN000219,2025-07-22,PROD0030,WH03,2,307.89,Retail,615.78
TXN000220,2025-07-22,PROD0017,WH02,1,168.37,Retail,168.37
TXN000221,2025-07-22,PROD0055,WH02,1,610.6,Retail,610.6
TXN000222,2025-07-22,PROD0093,WH04,2,718.31,Online,1436.62
TXN000223,2025-07-22,PROD0083,WH01,2,183.43,Retail,366.86
TXN000224,2025-07-22,PROD0106,WH05,4,51.83,Online,207.32
TXN000225,2025-07-22,PROD0038,WH05,4,226.86,Online,907.44
TXN000226,2025-07-22,PROD0070,WH05,2,291.98,Retail,583.96
TXN000227,2025-07-22,PROD0075,WH05,1,736.06,Retail,736.06
TXN000228,2025-07-22,PROD0018,WH05,4,22.79,Online,91.16
TXN000229,2025-07-22,PROD0048,WH02,1,468.79,Retail,468.79
TXN000230,2025-07-22,PROD0119,WH04,13,62.53,Online,812.89
TXN000231,2025-07-22,PROD0093,WH02,1,718.31,Online,718.31
TXN000232,2025-07-22,PROD0015,WH04,1,414.86,Online,414.86
TXN000233,2025-07-22,PROD0099,WH04,4,345.24,Wholesale,1380.96
TXN000234,2025-07-22,PROD0101,WH04,2,335.07,Retail,670.14
TXN000235,2025-07-22,PROD0084,WH04,1,563.23,Retail,563.23
TXN000236,2025-07-22,PROD0074,WH05,1,522.27,Retail,522.27
TXN000237,2025-07-22,PROD0055,WH02,1,610.6,Retail,610.6
TXN000238,2025-07-22,PROD0028,WH03,3,179.6,Retail,538.8
TXN000239,2025-07-22,PROD0063,WH04,1,560.04,Online,560.04
TXN000240,2025-07-22,PROD0034,WH05,5,126.65,Online,633.25
TXN000241,2025-07-22,PROD0041,WH03,1,313.32,Online,313.32
TXN000242,2025-07-22,PROD0037,WH05,1,720.85,Retail,720.85
TXN000243,2025-07-22,PROD0002,WH01,1,766.66,Retail,766.66
TXN000244,2025-07-22,PROD0096,WH03,1,785.16,Retail,785.16
TXN000245,2025-07-22,PROD0105,WH04,1,568.46,Retail,568.46
TXN000246,2025-07-22,PROD0124,WH05,2,391.84,Online,783.68
TXN000247,2025-07-22,PROD0048,WH04,2,468.79,Online,937.58
TXN000248,2025-07-22,PROD0022,WH04,2,88.86,Online,177.72
TXN000249,2025-07-22,PROD0127,WH03,4,815.22,Online,3260.88
TXN000250,2025-07-22,PROD0118,WH02,4,44.34,Retail,177.36
TXN000251,2025-07-22,PROD0081,WH03,13,41.47,Online,539.11
TXN000252,2025-07-22,PROD0094,WH01,14,54.93,Online,769.02
TXN000253,2025-07-22,PROD0095,WH01,4,226.49,Retail,905.96
TXN000254,2025-07-22,PROD0097,WH01,6,172.41,Online,1034.46
TXN000255,2025-07-22,PROD0020,WH04,3,363.62,Retail,1090.86
TXN000256,2025-07-22,PROD0061,WH01,2,35.05,Online,70.1
TXN000257,2025-07-22,PROD0026,WH05,1,482.99,Wholesale,482.99
TXN000258,2025-07-22,PROD0011,WH01,1,515.6,Online,515.6
TXN000259,2025-07-22,PROD0075,WH03,2,736.06,Online,1472.12
TXN000260,2025-07-22,PROD0117,WH03,2,478.38,Retail,956.76
TXN000261,2025-07-22,PROD0108,WH05,2,158.82,Online,317.64
TXN000262,2025-07-22,PROD0082,WH05,3,302.75,Online,908.25
TXN000263,2025-07-22,PROD0040,WH02,1,530.8,Retail,530.8
TXN000264,2025-07-22,PROD0119,WH04,13,62.53,Retail,812.89
TXN000265,2025-07-22,PROD0096,WH02,1,785.16,Online,785.16
TXN000266,2025-07-22,PROD0099,WH04,2,345.24,Online,690.48
TXN000267,2025-07-22,PROD0053,WH03,1,566.68,Retail,566.68
TXN000268,2025-07-22,PROD0103,WH02,2,731.07,Wholesale,1462.14
TXN000269,2025-07-22,PROD0057,WH05,2,229.78,Online,459.56
TXN000270,2025-07-22,PROD0087,WH02,1,387.06,Online,387.06
TXN000271,2025-07-22,PROD0091,WH05,1,922.1,Retail,922.1
TXN000272,2025-07-22,PROD0028,WH04,1,179.6,Wholesale,179.6
TXN000273,2025-07-22,PROD0032,WH01,16,66.91,Retail,1070.56
TXN000274,2025-07-22,PROD0005,WH05,1,170.46,Online,170.46
TXN000275,2025-07-22,PROD0070,WH04,1,291.98,Retail,291.98
TXN000276,2025-07-22,PROD0034,WH01,1,126.65,Online,126.65
TXN000277,2025-07-22,PROD0050,WH04,1,506.94,Retail,506.94
TXN000278,2025-07-22,PROD0059,WH05,1,529.33,Online,529.33
TXN000279,2025-07-22,PROD0084,WH05,1,563.23,Online,563.23
TXN000280,2025-07-22,PROD0068,WH05,2,154.66,Online,309.32
TXN000281,2025-07-22,PROD0017,WH05,3,168.37,Online,505.11
TXN000282,2025-07-22,PROD0097,WH02,4,172.41,Retail,689.64
TXN000283,2025-07-22,PROD0074,WH05,1,522.27,Online,522.27
TXN000284,2025-07-22,PROD0045,WH02,1,443.22,Online,443.22
TXN000285,2025-07-22,PROD0093,WH05,1,718.31,Online,718.31
TXN000286,2025-07-22,PROD0091,WH04,1,922.1,Retail,922.1
TXN000287,2025-07-22,PROD0009,WH05,1,577.1,Retail,577.1
TXN000288,2025-07-22,PROD0052,WH03,1,728.74,Online,728.74
TXN000289,2025-07-22,PROD0067,WH01,2,272.24,Retail,544.48
TXN000290,2025-07-22,PROD0007,WH03,3,385.91,Online,1157.73
TXN000291,2025-07-22,PROD0008,WH03,4,40.03,Wholesale,160.12
TXN000292,2025-07-22,PROD0067,WH05,1,272.24,Online,272.24
TXN000293,2025-07-22,PROD0033,WH02,4,535.58,Online,2142.32
TXN000294,2025-07-22,PROD0021,WH04,1,657.4,Retail,657.4
TXN000295,2025-07-22,PROD0074,WH01,1,522.27,Online,522.27
TXN000296,2025-07-22,PROD0015,WH05,1,414.86,Wholesale,414.86
TXN000297,2025-07-22,PROD0126,WH04,1,543.44,Online,543.44
TXN000298,2025-07-22,PROD0113,WH02,1,290.11,Online,290.11
TXN000299,2025-07-22,PROD0049,WH05,1,416.0,Online,416.0
TXN000300,2025-07-22,PROD0047,WH04,4,539.17,Online,2156.68
TXN000301,2025-07-22,PROD0107,WH03,1,546.29,Online,546.29
TXN000302,2025-07-22,PROD0049,WH05,1,416.0,Online,416.0
TXN000303,2025-07-22,PROD0013,WH04,1,231.03,Retail,231.03
TXN000304,2025-07-22,PROD0051,WH01,2,771.14,Online,1542.28
TXN000305,2025-07-22,PROD0128,WH02,7,88.9,Retail,622.3
TXN000306,2025-07-23,PROD0118,WH05,7,44.34,Online,310.38
TXN000307,2025-07-23,PROD0074,WH03,2,522.27,Online,1044.54
TXN000308,2025-07-23,PROD0068,WH05,4,154.66,Online,618.64
TXN000309,2025-07-23,PROD0033,WH05,1,535.58,Online,535.58
TXN000310,2025-07-23,PROD0044,WH04,14,10.47,Wholesale,146.58
TXN000311,2025-07-23,PROD0066,WH02,3,512.81,Wholesale,1538.43
TXN000312,2025-07-23,PROD0081,WH03,1,41.47,Online,41.47
TXN000313,2025-07-23,PROD0116,WH03,1,362.75,Retail,362.75
TXN000314,2025-07-23,PROD0119,WH03,16,62.53,Online,1000.48
TXN000315,2025-07-23,PROD0032,WH02,11,66.91,Retail,736.01
TXN000316,2025-07-23,PROD0052,WH05,1,728.74,Online,728.74
TXN000317,2025-07-23,PROD0028,WH02,3,179.6,Retail,538.8
TXN000318,2025-07-23,PROD0068,WH05,2,154.66,Online,309.32
TXN000319,2025-07-23,PROD0010,WH05,2,198.25,Online,396.5
TXN000320,2025-07-23,PROD0080,WH01,2,149.97,Retail,299.94
TXN000321,2025-07-23,PROD0059,WH04,1,529.33,Retail,529.33
TXN000322,2025-07-23,PROD0034,WH01,1,126.65,Retail,126.65
TXN000323,2025-07-23,PROD0058,WH04,1,407.28,Online,407.28
TXN000324,2025-07-23,PROD0020,WH01,1,363.62,Online,363.62
TXN000325,2025-07-23,PROD0128,WH02,6,88.9,Online,533.4
TXN000326,2025-07-23,PROD0057,WH05,2,229.78,Wholesale,459.56
TXN000327,2025-07-23,PROD0098,WH04,3,352.46,Online,1057.38
TXN000328,2025-07-23,PROD0002,WH03,1,766.66,Online,766.66
TXN000329,2025-07-23,PROD0002,WH02,1,766.66,Online,766.66
TXN000330,2025-07-23,PROD0106,WH02,14,51.83,Retail,725.62
TXN000331,2025-07-23,PROD0047,WH01,1,539.17,Online,539.17
TXN000332,2025-07-23,PROD0028,WH03,1,179.6,Online,179.6
TXN000333,2025-07-23,PROD0059,WH04,2,529.33,Online,1058.66
TXN000334,2025-07-23,PROD0072,WH03,5,109.21,Online,546.05
TXN000335,2025-07-23,PROD0057,WH04,5,229.78,Online,1148.9
TXN000336,2025-07-23,PROD0005,WH05,4,170.46,Online,681.84
TXN000337,2025-07-23,PROD0005,WH05,3,170.46,Online,511.38
TXN000338,2025-07-23,PROD0024,WH01,2,237.44,Wholesale,474.88
TXN000339,2025-07-23,PROD0061,WH05,8,35.05,Wholesale,280.4
TXN000340,2025-07-23,PROD0018,WH05,13,22.79,Retail,296.27
TXN000341,2025-07-23,PROD0076,WH05,2,105.69,Retail,211.38
TXN000342,2025-07-23,PROD0008,WH04,6,40.03,Online,240.18
TXN000343,2025-07-23,PROD0094,WH01,2,54.93,Online,109.86
TXN000344,2025-07-23,PROD0105,WH02,1,568.46,Retail,568.46
TXN000345,2025-07-23,PROD0031,WH01,1,159.65,Online,159.65
TXN000346,2025-07-23,PROD0118,WH01,10,44.34,Wholesale,443.4
TXN000347,2025-07-23,PROD0105,WH05,1,568.46,Online,568.46
TXN000348,2025-07-23,PROD0113,WH04,4,290.11,Retail,1160.44
TXN000349,2025-07-23,PROD0119,WH03,13,62.53,Online,812.89
TXN000350,2025-07-23,PROD0072,WH04,4,109.21,Retail,436.84
TXN000351,2025-07-23,PROD0011,WH04,2,515.6,Wholesale,1031.2
TXN000352,2025-07-23,PROD0062,WH03,1,576.67,Retail,576.67
TXN000353,2025-07-23,PROD0054,WH05,2,144.85,Online,289.7
TXN000354,2025-07-23,PROD0113,WH05,1,290.11,Retail,290.11
TXN000355,2025-07-23,PROD0013,WH02,1,231.03,Online,231.03
TXN000356,2025-07-23,PROD0110,WH04,2,84.13,Online,168.26
TXN000357,2025-07-23,PROD0032,WH01,7,66.91,Retail,468.37
TXN000358,2025-07-23,PROD0014,WH04,1,206.63,Online,206.63
TXN000359,2025-07-23,PROD0053,WH04,2,566.68,Online,1133.36
TXN000360,2025-07-23,PROD0046,WH02,2,328.39,Retail,656.78
TXN000361,2025-07-23,PROD0015,WH02,1,414.86,Retail,414.86
TXN000362,2025-07-23,PROD0076,WH04,3,105.69,Retail,317.07
TXN000363,2025-07-23,PROD0082,WH01,2,302.75,Online,605.5
TXN000364,2025-07-23,PROD0008,WH05,4,40.03,Online,160.12
TXN000365,2025-07-23,PROD0020,WH02,2,363.62,Online,727.24
TXN000366,2025-07-23,PROD0015,WH01,1,414.86,Online,414.86
TXN000367,2025-07-23,PROD0105,WH01,1,568.46,Wholesale,568.46
TXN000368,2025-07-23,PROD0117,WH03,1,478.38,Online,478.38
TXN000369,2025-07-23,PROD0110,WH04,1,84.13,Online,84.13
TXN000370,2025-07-23,PROD0126,WH04,1,543.44,Online,543.44
TXN000371,2025-07-23,PROD0126,WH02,1,543.44,Online,543.44
TXN000372,2025-07-23,PROD0040,WH01,1,530.8,Online,530.8
TXN000373,2025-07-23,PROD0033,WH02,1,535.58,Retail,535.58
TXN000374,2025-07-23,PROD0066,WH04,1,512.81,Online,512.81
TXN000375,2025-07-23,PROD0108,WH01,6,158.82,Retail,952.92
TXN000376,2025-07-23,PROD0083,WH05,2,183.43,Online,366.86
TXN000377,2025-07-23,PROD0080,WH05,1,149.97,Online,149.97
