inventory_id,date,product_id,warehouse_id,stock_on_hand,stock_allocated,stock_on_order
INV0000088,2026-05-23,PROD0018,WH03,33,3,0
INV0000089,2026-05-23,PROD0018,WH04,166,12,0
INV0000090,2026-05-23,PROD0018,WH05,120,7,0
INV0000091,2026-05-23,PROD0019,WH01,271,20,0
INV0000092,2026-05-23,PROD0019,WH02,259,32,0
INV0000093,2026-05-23,PROD0019,WH03,266,13,0
INV0000094,2026-05-23,PROD0019,WH04,35,3,0
INV0000095,2026-05-23,PROD0019,WH05,411,30,0
INV0000096,2026-05-23,PROD0020,WH01,46,1,0
INV0000097,2026-05-23,PROD0020,WH02,136,8,0
INV0000098,2026-05-23,PROD0020,WH03,168,8,0
INV0000099,2026-05-23,PROD0020,WH04,108,6,0
INV0000100,2026-05-23,PROD0020,WH05,433,30,0
INV0000101,2026-05-23,PROD0021,WH01,212,11,0
INV0000102,2026-05-23,PROD0021,WH02,272,28,0
INV0000103,2026-05-23,PROD0021,WH03,31,2,0
INV0000104,2026-05-23,PROD0021,WH04,159,8,0
INV0000105,2026-05-23,PROD0021,WH05,180,9,0
INV0000106,2026-05-23,PROD0022,WH01,87,13,0
INV0000107,2026-05-23,PROD0022,WH02,281,22,0
INV0000108,2026-05-23,PROD0022,WH03,149,15,0
INV0000109,2026-05-23,PROD0022,WH04,41,4,0
INV0000110,2026-05-23,PROD0022,WH05,261,33,0
INV0000111,2026-05-23,PROD0023,WH01,73,8,0
INV0000112,2026-05-23,PROD0023,WH02,224,15,0
INV0000113,2026-05-23,PROD0023,WH03,77,0,0
INV0000114,2026-05-23,PROD0023,WH04,156,9,0
INV0000115,2026-05-23,PROD0023,WH05,226,10,0
INV0000116,2026-05-23,PROD0024,WH01,229,29,0
INV0000117,2026-05-23,PROD0024,WH02,189,0,0
INV0000118,2026-05-23,PROD0024,WH03,155,23,0
INV0000119,2026-05-23,PROD0024,WH04,246,11,0
INV0000120,2026-05-23,PROD0024,WH05,392,48,0
INV0000121,2026-05-23,PROD0025,WH01,160,12,0
INV0000122,2026-05-23,PROD0025,WH02,205,24,0
INV0000123,2026-05-23,PROD0025,WH03,120,17,0
INV0000124,2026-05-23,PROD0025,WH04,50,2,0
INV0000125,2026-05-23,PROD0025,WH05,96,2,0
INV0000126,2026-05-23,PROD0026,WH01,162,7,0
INV0000127,2026-05-23,PROD0026,WH02,146,7,0
INV0000128,2026-05-23,PROD0026,WH03,134,9,0
INV0000129,2026-05-23,PROD0026,WH04,221,17,0
INV0000130,2026-05-23,PROD0026,WH05,79,2,0
INV0000131,2026-05-23,PROD0027,WH01,78,2,0
INV0000132,2026-05-23,PROD0027,WH02,141,21,0
INV0000133,2026-05-23,PROD0027,WH03,33,2,0
INV0000134,2026-05-23,PROD0027,WH04,83,11,0
INV0000135,2026-05-23,PROD0027,WH05,103,12,0
INV0000136,2026-05-23,PROD0028,WH01,78,2,0
INV0000137,2026-05-23,PROD0028,WH02,78,1,0
INV0000138,2026-05-23,PROD0028,WH03,292,14,0
INV0000139,2026-05-23,PROD0028,WH04,242,10,0
INV0000140,2026-05-23,PROD0028,WH05,433,50,0
INV0000141,2026-05-23,PROD0029,WH01,94,2,0
INV0000142,2026-05-23,PROD0029,WH02,117,4,0
INV0000143,2026-05-23,PROD0029,WH03,254,14,0
INV0000144,2026-05-23,PROD0029,WH04,186,10,0
INV0000145,2026-05-23,PROD0029,WH05,118,0,0
INV0000146,2026-05-23,PROD0030,WH01,82,7,0
INV0000147,2026-05-23,PROD0030,WH02,166,14,0
INV0000148,2026-05-23,PROD0030,WH03,295,42,0
INV0000149,2026-05-23,PROD0030,WH04,132,16,0
INV0000150,2026-05-23,PROD0030,WH05,376,48,0
INV0000151,2026-05-23,PROD0031,WH01,282,21,0
INV0000152,2026-05-23,PROD0031,WH02,249,32,0
INV0000153,2026-05-23,PROD0031,WH03,129,10,0
INV0000154,2026-05-23,PROD0031,WH04,183,7,0
INV0000155,2026-05-23,PROD0031,WH05,323,2,0
INV0000156,2026-05-23,PROD0032,WH01,196,29,0
INV0000157,2026-05-23,PROD0032,WH02,292,33,0
INV0000158,2026-05-23,PROD0032,WH03,292,9,0
INV0000159,2026-05-23,PROD0032,WH04,182,26,0
INV0000160,2026-05-23,PROD0032,WH05,251,9,0
INV0000161,2026-05-23,PROD0033,WH01,147,1,0
INV0000162,2026-05-23,PROD0033,WH02,251,37,0
INV0000163,2026-05-23,PROD0033,WH03,93,10,0
INV0000164,2026-05-23,PROD0033,WH04,209,13,0
INV0000165,2026-05-23,PROD0033,WH05,91,10,0
INV0000166,2026-05-23,PROD0034,WH01,287,13,0
INV0000167,2026-05-23,PROD0034,WH02,90,11,0
INV0000168,2026-05-23,PROD0034,WH03,75,4,0
INV0000169,2026-05-23,PROD0034,WH04,52,6,0
INV0000170,2026-05-23,PROD0034,WH05,111,3,0
INV0000171,2026-05-23,PROD0035,WH01,156,7,0
INV0000172,2026-05-23,PROD0035,WH02,162,1,0
INV0000173,2026-05-23,PROD0035,WH03,39,1,0
INV0000174,2026-05-23,PROD0035,WH04,103,11,0
INV0000175,2026-05-23,PROD0035,WH05,277,5,0
INV0000176,2026-05-23,PROD0036,WH01,97,7,0
INV0000177,2026-05-23,PROD0036,WH02,53,5,0
INV0000178,2026-05-23,PROD0036,WH03,89,5,0
INV0000179,2026-05-23,PROD0036,WH04,150,3,0
INV0000180,2026-05-23,PROD0036,WH05,349,9,0
INV0000181,2026-05-23,PROD0037,WH01,81,6,0
INV0000182,2026-05-23,PROD0037,WH02,165,21,0
INV0000183,2026-05-23,PROD0037,WH03,108,2,0
INV0000184,2026-05-23,PROD0037,WH04,174,0,0
INV0000185,2026-05-23,PROD0037,WH05,89,13,0
INV0000186,2026-05-23,PROD0038,WH01,56,3,0
INV0000187,2026-05-23,PROD0038,WH02,50,4,0
INV0000188,2026-05-23,PROD0038,WH03,72,7,0
INV0000189,2026-05-23,PROD0038,WH04,213,18,0
INV0000190,2026-05-23,PROD0038,WH05,255,0,0
INV0000191,2026-05-23,PROD0039,WH01,112,0,0
INV0000192,2026-05-23,PROD0039,WH02,141,15,0
INV0000193,2026-05-23,PROD0039,WH03,216,28,0
INV0000194,2026-05-23,PROD0039,WH04,181,6,0
INV0000195,2026-05-23,PROD0039,WH05,319,34,0
INV0000196,2026-05-23,PROD0040,WH01,183,11,0
INV0000197,2026-05-23,PROD0040,WH02,227,25,0
INV0000198,2026-05-23,PROD0040,WH03,237,9,0
INV0000199,2026-05-23,PROD0040,WH04,284,12,0
INV0000200,2026-05-23,PROD0040,WH05,169,16,0
INV0000201,2026-05-23,PROD0041,WH01,38,6,0
INV0000202,2026-05-23,PROD0041,WH02,275,1,0
INV0000203,2026-05-23,PROD0041,WH03,111,7,0
INV0000204,2026-05-23,PROD0041,WH04,62,6,0
INV0000205,2026-05-23,PROD0041,WH05,394,40,0
INV0000206,2026-05-23,PROD0042,WH01,261,23,0
INV0000207,2026-05-23,PROD0042,WH02,33,5,0
INV0000208,2026-05-23,PROD0042,WH03,103,5,0
INV0000209,2026-05-23,PROD0042,WH04,89,11,0
INV0000210,2026-05-23,PROD0042,WH05,394,44,0
INV0000211,2026-05-23,PROD0043,WH01,196,6,0
INV0000212,2026-05-23,PROD0043,WH02,227,23,0
INV0000213,2026-05-23,PROD0043,WH03,35,3,0
INV0000214,2026-05-23,PROD0043,WH04,268,37,0
INV0000215,2026-05-23,PROD0043,WH05,433,24,0
INV0000216,2026-05-23,PROD0044,WH01,274,12,0
INV0000217,2026-05-23,PROD0044,WH02,132,6,0
INV0000218,2026-05-23,PROD0044,WH03,264,20,0
INV0000219,2026-05-23,PROD0044,WH04,43,2,0
INV0000220,2026-05-23,PROD0044,WH05,58,8,0
INV0000221,2026-05-23,PROD0045,WH01,48,3,0
INV0000222,2026-05-23,PROD0045,WH02,125,3,0
INV0000223,2026-05-23,PROD0045,WH03,28,3,0
INV0000224,2026-05-23,PROD0045,WH04,161,3,0
INV0000225,2026-05-23,PROD0045,WH05,261,31,0
INV0000226,2026-05-23,PROD0046,WH01,41,4,0
INV0000227,2026-05-23,PROD0046,WH02,226,31,0
INV0000228,2026-05-23,PROD0046,WH03,62,3,0
INV0000229,2026-05-23,PROD0046,WH04,242,29,0
INV0000230,2026-05-23,PROD0046,WH05,214,23,0
INV0000231,2026-05-23,PROD0047,WH01,88,10,0
INV0000232,2026-05-23,PROD0047,WH02,259,5,0
INV0000233,2026-05-23,PROD0047,WH03,98,10,0
INV0000234,2026-05-23,PROD0047,WH04,271,31,0
INV0000235,2026-05-23,PROD0047,WH05,270,34,0
INV0000236,2026-05-23,PROD0048,WH01,101,10,0
INV0000237,2026-05-23,PROD0048,WH02,200,7,0
INV0000238,2026-05-23,PROD0048,WH03,169,13,0
INV0000239,2026-05-23,PROD0048,WH04,265,15,0
INV0000240,2026-05-23,PROD0048,WH05,286,15,0
INV0000241,2026-05-23,PROD0049,WH01,272,23,0
INV0000242,2026-05-23,PROD0049,WH02,234,33,0
INV0000243,2026-05-23,PROD0049,WH03,131,3,0
INV0000244,2026-05-23,PROD0049,WH04,254,23,0
INV0000245,2026-05-23,PROD0049,WH05,94,8,0
INV0000246,2026-05-23,PROD0050,WH01,141,2,0
INV0000247,2026-05-23,PROD0050,WH02,111,15,0
INV0000248,2026-05-23,PROD0050,WH03,49,5,0
INV0000249,2026-05-23,PROD0050,WH04,76,9,0
INV0000250,2026-05-23,PROD0050,WH05,319,4,0
INV0000251,2026-05-23,PROD0051,WH01,281,26,0
INV0000252,2026-05-23,PROD0051,WH02,259,38,0
INV0000253,2026-05-23,PROD0051,WH03,124,14,0
INV0000254,2026-05-23,PROD0051,WH04,104,1,0
INV0000255,2026-05-23,PROD0051,WH05,369,40,0
INV0000256,2026-05-23,PROD0052,WH01,97,1,0
INV0000257,2026-05-23,PROD0052,WH02,113,13,0
INV0000258,2026-05-23,PROD0052,WH03,154,9,0
INV0000259,2026-05-23,PROD0052,WH04,133,5,0
INV0000260,2026-05-23,PROD0052,WH05,178,17,0
INV0000261,2026-05-23,PROD0053,WH01,115,4,0
INV0000262,2026-05-23,PROD0053,WH02,140,5,0
INV0000263,2026-05-23,PROD0053,WH03,297,2,0
INV0000264,2026-05-23,PROD0053,WH04,44,2,0
INV0000265,2026-05-23,PROD0053,WH05,274,6,0
INV0000266,2026-05-23,PROD0054,WH01,150,8,0
INV0000267,2026-05-23,PROD0054,WH02,242,24,0
INV0000268,2026-05-23,PROD0054,WH03,150,14,0
INV0000269,2026-05-23,PROD0054,WH04,24,0,0
INV0000270,2026-05-23,PROD0054,WH05,395,36,0
INV0000271,2026-05-23,PROD0055,WH01,114,17,0
INV0000272,2026-05-23,PROD0055,WH02,251,5,0
INV0000273,2026-05-23,PROD0055,WH03,256,15,0
INV0000274,2026-05-23,PROD0055,WH04,254,35,0
INV0000275,2026-05-23,PROD0055,WH05,199,4,0
INV0000276,2026-05-23,PROD0056,WH01,18,2,500
INV0000277,2026-05-23,PROD0056,WH02,264,23,0
INV0000278,2026-05-23,PROD0056,WH03,171,5,0
INV0000279,2026-05-23,PROD0056,WH04,53,8,0
INV0000280,2026-05-23,PROD0056,WH05,85,0,0
INV0000281,2026-05-23,PROD0057,WH01,147,19,0
INV0000282,2026-05-23,PROD0057,WH02,216,19,0
INV0000283,2026-05-23,PROD0057,WH03,298,41,0
INV0000284,2026-05-23,PROD0057,WH04,155,14,0
INV0000285,2026-05-23,PROD0057,WH05,121,3,0
INV0000286,2026-05-23,PROD0058,WH01,289,12,0
INV0000287,2026-05-23,PROD0058,WH02,290,25,0
INV0000288,2026-05-23,PROD0058,WH03,163,5,0
INV0000289,2026-05-23,PROD0058,WH04,94,7,0
INV0000290,2026-05-23,PROD0058,WH05,183,12,0
INV0000291,2026-05-23,PROD0059,WH01,230,16,0
INV0000292,2026-05-23,PROD0059,WH02,186,25,0
INV0000293,2026-05-23,PROD0059,WH03,168,13,0
INV0000294,2026-05-23,PROD0059,WH04,252,35,0
INV0000295,2026-05-23,PROD0059,WH05,220,30,0
INV0000296,2026-05-23,PROD0060,WH01,96,9,0
INV0000297,2026-05-23,PROD0060,WH02,208,12,0
INV0000298,2026-05-23,PROD0060,WH03,294,6,0
INV0000299,2026-05-23,PROD0060,WH04,34,3,200
INV0000300,2026-05-23,PROD0060,WH05,141,10,0
INV0000301,2026-05-23,PROD0061,WH01,261,19,0
INV0000302,2026-05-23,PROD0061,WH02,141,4,0
INV0000303,2026-05-23,PROD0061,WH03,45,3,0
INV0000304,2026-05-23,PROD0061,WH04,62,4,0
INV0000305,2026-05-23,PROD0061,WH05,392,30,0
INV0000306,2026-05-23,PROD0062,WH01,136,17,0
INV0000307,2026-05-23,PROD0062,WH02,148,3,0
INV0000308,2026-05-23,PROD0062,WH03,82,9,0
INV0000309,2026-05-23,PROD0062,WH04,254,3,0
INV0000310,2026-05-23,PROD0062,WH05,272,25,0
INV0000311,2026-05-23,PROD0063,WH01,37,1,100
INV0000312,2026-05-23,PROD0063,WH02,138,21,0
INV0000313,2026-05-23,PROD0063,WH03,48,4,0
INV0000314,2026-05-23,PROD0063,WH04,189,1,0
INV0000315,2026-05-23,PROD0063,WH05,309,40,0
INV0000316,2026-05-23,PROD0064,WH01,156,3,0
INV0000317,2026-05-23,PROD0064,WH02,214,5,0
INV0000318,2026-05-23,PROD0064,WH03,35,3,0
INV0000319,2026-05-23,PROD0064,WH04,78,4,0
INV0000320,2026-05-23,PROD0064,WH05,249,30,0
INV0000321,2026-05-23,PROD0065,WH01,28,3,0
INV0000322,2026-05-23,PROD0065,WH02,103,3,0
INV0000323,2026-05-23,PROD0065,WH03,71,5,0
INV0000324,2026-05-23,PROD0065,WH04,113,13,0
INV0000325,2026-05-23,PROD0065,WH05,195,28,0
INV0000326,2026-05-23,PROD0066,WH01,287,29,0
INV0000327,2026-05-23,PROD0066,WH02,145,18,0
INV0000328,2026-05-23,PROD0066,WH03,66,2,0
INV0000329,2026-05-23,PROD0066,WH04,144,14,0
INV0000330,2026-05-23,PROD0066,WH05,89,12,0
INV0000331,2026-05-23,PROD0067,WH01,64,6,0
INV0000332,2026-05-23,PROD0067,WH02,114,9,0
INV0000333,2026-05-23,PROD0067,WH03,105,3,0
INV0000334,2026-05-23,PROD0067,WH04,239,3,0
INV0000335,2026-05-23,PROD0067,WH05,400,40,0
INV0000336,2026-05-23,PROD0068,WH01,264,6,0
INV0000337,2026-05-23,PROD0068,WH02,51,7,0
INV0000338,2026-05-23,PROD0068,WH03,140,12,0
INV0000339,2026-05-23,PROD0068,WH04,29,4,0
INV0000340,2026-05-23,PROD0068,WH05,196,14,0
INV0000341,2026-05-23,PROD0069,WH01,150,15,0
INV0000342,2026-05-23,PROD0069,WH02,143,12,0
INV0000343,2026-05-23,PROD0069,WH03,79,7,0
INV0000344,2026-05-23,PROD0069,WH04,255,21,0
INV0000345,2026-05-23,PROD0069,WH05,225,13,0
INV0000346,2026-05-23,PROD0070,WH01,138,3,0
INV0000347,2026-05-23,PROD0070,WH02,188,2,0
INV0000348,2026-05-23,PROD0070,WH03,159,16,0
INV0000349,2026-05-23,PROD0070,WH04,234,33,0
INV0000350,2026-05-23,PROD0070,WH05,322,48,0
INV0000351,2026-05-23,PROD0071,WH01,173,4,0
INV0000352,2026-05-23,PROD0071,WH02,155,10,0
INV0000353,2026-05-23,PROD0071,WH03,145,12,0
INV0000354,2026-05-23,PROD0071,WH04,214,22,0
INV0000355,2026-05-23,PROD0071,WH05,94,14,0
INV0000356,2026-05-23,PROD0072,WH01,269,34,0
INV0000357,2026-05-23,PROD0072,WH02,68,2,0
INV0000358,2026-05-23,PROD0072,WH03,155,12,0
INV0000359,2026-05-23,PROD0072,WH04,61,4,0
INV0000360,2026-05-23,PROD0072,WH05,81,9,0
INV0000361,2026-05-23,PROD0073,WH01,57,4,0
INV0000362,2026-05-23,PROD0073,WH02,294,39,0
INV0000363,2026-05-23,PROD0073,WH03,52,4,0
INV0000364,2026-05-23,PROD0073,WH04,297,16,0
INV0000365,2026-05-23,PROD0073,WH05,288,27,0
INV0000366,2026-05-23,PROD0074,WH01,199,25,0
INV0000367,2026-05-23,PROD0074,WH02,100,4,0
INV0000368,2026-05-23,PROD0074,WH03,145,12,0
INV0000369,2026-05-23,PROD0074,WH04,206,14,0
INV0000370,2026-05-23,PROD0074,WH05,261,6,0
INV0000371,2026-05-23,PROD0075,WH01,47,5,0
INV0000372,2026-05-23,PROD0075,WH02,59,8,0
INV0000373,2026-05-23,PROD0075,WH03,133,15,0
INV0000374,2026-05-23,PROD0075,WH04,105,6,0
INV0000375,2026-05-23,PROD0075,WH05,160,7,0
INV0000376,2026-05-23,PROD0076,WH01,172,21,0
INV0000377,2026-05-23,PROD0076,WH02,88,7,0
INV0000378,2026-05-23,PROD0076,WH03,205,28,0
INV0000379,2026-05-23,PROD0076,WH04,67,6,0
INV0000380,2026-05-23,PROD0076,WH05,162,16,0
INV0000381,2026-05-23,PROD0077,WH01,33,3,0
INV0000382,2026-05-23,PROD0077,WH02,250,16,0
INV0000383,2026-05-23,PROD0077,WH03,171,23,0
INV0000384,2026-05-23,PROD0077,WH04,122,10,0
INV0000385,2026-05-23,PROD0077,WH05,138,13,0
INV0000386,2026-05-23,PROD0078,WH01,218,15,0
INV0000387,2026-05-23,PROD0078,WH02,56,3,0
INV0000388,2026-05-23,PROD0078,WH03,59,8,0
INV0000389,2026-05-23,PROD0078,WH04,40,4,0
INV0000390,2026-05-23,PROD0078,WH05,430,37,0
INV0000391,2026-05-23,PROD0079,WH01,82,9,0
INV0000392,2026-05-23,PROD0079,WH02,180,1,0
INV0000393,2026-05-23,PROD0079,WH03,201,1,0
INV0000394,2026-05-23,PROD0079,WH04,158,19,0
INV0000395,2026-05-23,PROD0079,WH05,429,42,0
INV0000396,2026-05-23,PROD0080,WH01,128,16,0
INV0000397,2026-05-23,PROD0080,WH02,292,7,0
INV0000398,2026-05-23,PROD0080,WH03,213,26,0
INV0000399,2026-05-23,PROD0080,WH04,208,15,0
INV0000400,2026-05-23,PROD0080,WH05,341,36,0
INV0000401,2026-05-23,PROD0081,WH01,71,11,0
INV0000402,2026-05-23,PROD0081,WH02,41,3,0
INV0000403,2026-05-23,PROD0081,WH03,215,21,0
INV0000404,2026-05-23,PROD0081,WH04,48,6,0
INV0000405,2026-05-23,PROD0081,WH05,87,12,0
INV0000406,2026-05-23,PROD0082,WH01,54,3,0
INV0000407,2026-05-23,PROD0082,WH02,194,22,0
INV0000408,2026-05-23,PROD0082,WH03,20,2,0
INV0000409,2026-05-23,PROD0082,WH04,113,5,0
INV0000410,2026-05-23,PROD0082,WH05,261,30,0
INV0000411,2026-05-23,PROD0083,WH01,62,5,0
INV0000412,2026-05-23,PROD0083,WH02,165,4,0
INV0000413,2026-05-23,PROD0083,WH03,89,11,0
INV0000414,2026-05-23,PROD0083,WH04,104,2,0
INV0000415,2026-05-23,PROD0083,WH05,81,4,0
INV0000416,2026-05-23,PROD0084,WH01,95,11,0
INV0000417,2026-05-23,PROD0084,WH02,272,37,0
INV0000418,2026-05-23,PROD0084,WH03,48,1,0
INV0000419,2026-05-23,PROD0084,WH04,224,26,0
INV0000420,2026-05-23,PROD0084,WH05,186,24,0
INV0000421,2026-05-23,PROD0085,WH01,209,4,0
INV0000422,2026-05-23,PROD0085,WH02,96,6,0
INV0000423,2026-05-23,PROD0085,WH03,125,18,0
INV0000424,2026-05-23,PROD0085,WH04,112,2,0
INV0000425,2026-05-23,PROD0085,WH05,298,4,0
INV0000426,2026-05-23,PROD0086,WH01,93,4,0
INV0000427,2026-05-23,PROD0086,WH02,225,14,0
INV0000428,2026-05-23,PROD0086,WH03,156,14,0
INV0000429,2026-05-23,PROD0086,WH04,137,15,0
INV0000430,2026-05-23,PROD0086,WH05,76,8,0
INV0000431,2026-05-23,PROD0087,WH01,38,5,0
INV0000432,2026-05-23,PROD0087,WH02,199,11,0
INV0000433,2026-05-23,PROD0087,WH03,137,16,0
INV0000434,2026-05-23,PROD0087,WH04,184,10,0
INV0000435,2026-05-23,PROD0087,WH05,363,25,0
INV0000436,2026-05-23,PROD0088,WH01,61,2,0
INV0000437,2026-05-23,PROD0088,WH02,70,10,0
INV0000438,2026-05-23,PROD0088,WH03,244,7,0
INV0000439,2026-05-23,PROD0088,WH04,59,1,0
INV0000440,2026-05-23,PROD0088,WH05,399,19,0
INV0000441,2026-05-23,PROD0089,WH01,255,14,0
INV0000442,2026-05-23,PROD0089,WH02,176,19,0
INV0000443,2026-05-23,PROD0089,WH03,134,13,0
INV0000444,2026-05-23,PROD0089,WH04,272,14,0
INV0000445,2026-05-23,PROD0089,WH05,169,25,0
INV0000446,2026-05-23,PROD0090,WH01,114,14,0
INV0000447,2026-05-23,PROD0090,WH02,297,30,0
INV0000448,2026-05-23,PROD0090,WH03,281,37,0
INV0000449,2026-05-23,PROD0090,WH04,203,28,0
INV0000450,2026-05-23,PROD0090,WH05,445,65,0
INV0000451,2026-05-23,PROD0091,WH01,235,25,0
INV0000452,2026-05-23,PROD0091,WH02,105,9,0
INV0000453,2026-05-23,PROD0091,WH03,176,7,0
INV0000454,2026-05-23,PROD0091,WH04,65,7,0
INV0000455,2026-05-23,PROD0091,WH05,205,26,0
INV0000456,2026-05-23,PROD0092,WH01,207,25,0
INV0000457,2026-05-23,PROD0092,WH02,228,7,0
INV0000458,2026-05-23,PROD0092,WH03,142,5,0
INV0000459,2026-05-23,PROD0092,WH04,106,7,0
INV0000460,2026-05-23,PROD0092,WH05,334,45,0
INV0000461,2026-05-23,PROD0093,WH01,92,3,0
INV0000462,2026-05-23,PROD0093,WH02,216,16,0
INV0000463,2026-05-23,PROD0093,WH03,152,5,0
INV0000464,2026-05-23,PROD0093,WH04,176,10,0
INV0000465,2026-05-23,PROD0093,WH05,204,24,0
INV0000466,2026-05-23,PROD0094,WH01,70,4,0
INV0000467,2026-05-23,PROD0094,WH02,22,1,0
INV0000468,2026-05-23,PROD0094,WH03,258,11,0
INV0000469,2026-05-23,PROD0094,WH04,242,27,0
INV0000470,2026-05-23,PROD0094,WH05,159,5,0
INV0000471,2026-05-23,PROD0095,WH01,163,19,0
INV0000472,2026-05-23,PROD0095,WH02,262,24,0
INV0000473,2026-05-23,PROD0095,WH03,155,4,0
INV0000474,2026-05-23,PROD0095,WH04,269,22,0
INV0000475,2026-05-23,PROD0095,WH05,391,2,0
INV0000476,2026-05-23,PROD0096,WH01,250,15,0
INV0000477,2026-05-23,PROD0096,WH02,67,0,0
INV0000478,2026-05-23,PROD0096,WH03,177,14,0
INV0000479,2026-05-23,PROD0096,WH04,292,36,0
